id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
9195897,Boutique hotel in Hopkins · ★4.61 · 1 bedroom · 3 beds · 1 private bath,16831666,Tyler And Val,Stann Creek,Stann Creek Mainland,16.85169,-88.27929,Private room,192,1,28,2023-02-26,0.30,12,322,2,
9252125,Guesthouse in Stann Creek · 1 bedroom · 1 bed · 1 bath,45000999,Maya,Stann Creek,Stann Creek Mainland,16.61487,-88.35507,Entire home/apt,242,1,2,2018-12-28,0.03,4,0,0,
9268862,Rental unit in Caye Caulker · ★4.75 · 1 bedroom · 1 bed · 1 private bath,10546084,Michele,Belize,Belize Islands,17.74245,-88.0241,Private room,151,2,4,2020-01-03,0.05,8,25,0,
9269132,Rental unit in Caye Caulker · ★4.82 · 1 bedroom · 1 bed · 1 private bath,10546084,Michele,Belize,Belize Islands,17.74186,-88.0248,Private room,151,2,38,2020-02-25,0.39,8,25,0,
9272745,Rental unit in Caye Caulker · ★4.90 · 1 bedroom · 1 bed · 1 bath,10546084,Michele,Belize,Belize Islands,17.74217,-88.02449,Private room,151,2,21,2020-02-21,0.22,8,25,0,
9273451,Rental unit in Caye Caulker · ★4.89 · 1 bedroom · 1 bed · 1 private bath,10546084,Michele,Belize,Belize Islands,17.76,-88.02688,Private room,151,2,27,2020-01-04,0.28,8,25,0,
9274044,Rental unit in Caye Caulker · ★4.89 · 1 bedroom · 1 bed · 1 bath,10546084,Michele,Belize,Belize Islands,17.74222,-88.02392,Private room,151,2,27,2020-02-07,0.28,8,26,0,
9274696,Rental unit in Caye Caulker · ★4.83 · 1 bedroom · 1 bed · 1 private bath,10546084,Michele,Belize,Belize Islands,17.74097,-88.02603,Private room,151,2,30,2020-02-10,0.31,8,25,0,
9275263,Rental unit in Caye Caulker · ★4.77 · 1 bedroom · 1 bed · 1 private bath,10546084,Michele,Belize,Belize Islands,17.74163,-88.02621,Private room,151,2,31,2019-03-05,0.32,8,25,0,
9280432,Aparthotel in Ambergris Caye · ★4.84 · 1 bedroom · 1 bed · 1 bath,48093824,Jason,Belize,Belize Islands,18.03518,-87.89714,Entire home/apt,260,3,19,2023-10-29,0.20,1,292,5,
9408664,Bed and breakfast in Orange Walk · ★4.96 · 2 bedrooms · 2 beds · 1 private bath,48785884,Barbara And Bart,Orange Walk,Orange Walk,18.08042,-88.54033,Private room,57,1,95,2023-12-23,0.97,1,345,15,
9424006,Cabin in San Ignacio  · ★4.79 · 2 bedrooms · 5 beds · 1 bath,48856854,Rose & Nancy,Cayo,Cayo,17.15288,-89.07652,Entire home/apt,111,2,42,2022-01-09,0.50,2,1,0,
9458441,Condo in San Pedro · ★4.83 · 2 bedrooms · 2 beds · 2 baths,49014327,Hummingbird Island,Belize,Belize Islands,17.90952491760254,-87.9726791381836,Entire home/apt,341,2,72,2023-11-04,0.74,5,313,12,
9460007,Condo in San Pedro · ★4.91 · 1 bedroom · 1 bed · 1 bath,49014327,Hummingbird Island,Belize,Belize Islands,17.90968894958496,-87.97258758544922,Entire home/apt,257,2,58,2023-04-09,0.60,5,309,4,
9461471,Boutique hotel in San Pedro · ★4.85 · 1 bedroom · 1 bed · 1 private bath,49014327,Hummingbird Island,Belize,Belize Islands,17.909727096557617,-87.9726333618164,Hotel room,208,2,78,2023-12-11,0.80,5,340,10,
9485934,Home in Long Caye · ★4.72 · 2 bedrooms · 6 beds · 1 bath,49166199,Madison Cinnamon,Belize,Belize Islands,17.2065649,-87.5951834,Entire home/apt,404,3,18,2023-11-01,0.20,1,337,2,
9510905,Cottage in Caye Caulker · ★4.89 · 2 bedrooms · 1 bed · 1 bath,47480777,Jeff,Belize,Belize Islands,17.7411,-88.02742,Entire home/apt,363,3,36,2023-12-11,0.38,3,306,14,
9545048,Rental unit in Santa Elena · ★5.0 · 1 bedroom · 2 beds · 1 private bath,48970192,Lucy,Cayo,Cayo,17.15136,-89.07465,Private room,111,1,4,2019-01-06,0.04,1,365,0,
9588132,Home in Hopkins · ★4.73 · 2 bedrooms · 4 beds · 1 bath,16831666,Tyler And Val,Stann Creek,Stann Creek Mainland,16.85161,-88.27955,Entire home/apt,283,2,51,2023-12-20,0.52,12,0,19,
9597407,Guesthouse in Caye Caulker · ★4.90 · 1 bedroom · 1 bed · 1 bath,9430792,Chila,Belize,Belize Islands,17.74865,-88.02367,Entire home/apt,131,2,206,2023-12-15,2.15,3,321,21,
9736869,Rental unit in Belize City · 1 bedroom · 1 bed · 1 bath,50236830,Alma,Cayo,Cayo,17.27631,-88.71624,Entire home/apt,71,2,0,,,1,0,0,
9807727,Bungalow in Cristo Rey · ★4.97 · 1 bedroom · 1 bed · 1 bath,35805826,Cheryl & Jeff,Cayo,Cayo,17.130432,-89.058754,Entire home/apt,161,1,231,2023-12-09,2.50,3,293,19,
9848776,Aparthotel in Belize · ★4.96 · Studio · 1 bed · 1 private bath,6334784,Tom,Belize,Belize Islands,17.73582,-88.0268,Hotel room,444,1,106,2023-10-30,1.09,12,196,12,
9864331,Rental unit in San Pedro · ★4.71 · 1 bedroom · 1 bed · 1 bath,43775096,Katrina,Belize,Belize Islands,17.91814,-87.96349,Entire home/apt,111,60,14,2019-05-01,0.14,4,364,0,
9864801,Rental unit in San Pedro · ★4.37 · 1 bedroom · 1 bed · 1 bath,43775096,Katrina,Belize,Belize Islands,17.9189,-87.96273,Entire home/apt,111,60,35,2022-02-11,0.36,4,365,0,
9865132,Rental unit in San Pedro · ★4.67 · 1 bedroom · 1 bed · 1 private bath,43775096,Katrina,Belize,Belize Islands,17.91873,-87.96419,Private room,111,60,6,2019-11-01,0.08,4,358,0,
9934974,Boutique hotel in Hopkins · ★4.78 · 1 bedroom · 3 beds · 1 private bath,16831666,Tyler And Val,Stann Creek,Stann Creek Mainland,16.85202,-88.27968,Private room,202,1,55,2023-11-18,0.60,12,289,1,
9957366,Home in San Ignacio · ★4.96 · 3 bedrooms · 4 beds · 2 baths,4768636,Katia,Cayo,Cayo,17.1621,-89.0418,Entire home/apt,551,3,79,2023-06-19,0.83,1,127,10,
10021941,Home in Hopkins · ★4.65 · 2 bedrooms · 4 beds · 1 bath,16831666,Tyler And Val,Stann Creek,Stann Creek Mainland,16.85186,-88.27959,Entire home/apt,283,2,80,2023-11-14,0.82,12,0,5,
10068252,Tiny home in Sarteneja · ★4.69 · 1 bedroom · 1 bed · 1 bath,51172579,Nathalie,Corozal,Corozal,18.34597,-88.15251,Entire home/apt,81,1,54,2023-03-31,0.56,4,340,2,
10068754,Bungalow in Sarteneja · ★4.79 · 1 bedroom · 3 beds · 1 bath,51172579,Nathalie,Corozal,Corozal,18.34602,-88.15238,Entire home/apt,131,1,61,2023-06-25,0.63,4,354,3,
10129552,Cabin in San Ignacio · 1 bedroom · 1 bed · 1 private bath,51983681,Selvin,Cayo,Cayo,17.16958,-89.0703,Private room,75,1,2,2023-03-23,0.04,4,0,1,
10152255,Cabin in San Ignacio · ★4.33 · 1 bedroom · 1 bed · 1 private bath,51983681,Selvin,Cayo,Cayo,17.16562,-89.06862,Private room,111,1,6,2019-07-16,0.10,4,0,0,
10152996,Rental unit in San Ignacio · 1 bedroom · 2 beds · 1 bath,51983681,Selvin,Cayo,Cayo,17.16908,-89.06945,Private room,75,1,1,2023-01-06,0.08,4,0,1,
10153236,Home in San Ignacio · 1 bedroom · 1 bed · 1 private bath,51983681,Selvin,Cayo,Cayo,17.16789,-89.0707,Private room,75,1,0,,,4,0,0,
10247854,Bungalow in Caye Caulker · ★4.80 · 2 bedrooms · 2 beds · 1 bath,2267459,Tropical Dreams,Belize,Belize Islands,17.73886,-88.02588,Entire home/apt,212,2,186,2023-12-16,1.95,4,309,27,
10252481,Home in Caye Caulker · ★4.92 · 2 bedrooms · 1 bed · 1 bath,52702883,Birdhouses Luis & Lucrecia,Belize,Belize Islands,17.73917,-88.02818,Entire home/apt,311,2,305,2023-12-01,3.15,2,290,39,
10264913,Farm stay in Middlesex · ★4.79 · 1 bedroom · 3 beds · 1 bath,52665457,Vanessa,Stann Creek,Stann Creek Mainland,17.03395,-88.51869,Entire home/apt,139,2,14,2023-01-26,0.15,9,213,1,
10295836,Aparthotel in Caye Caulker  · ★4.90 · 1 bedroom · 1 bed · 1 bath,6334784,Tom,Belize,Belize Islands,17.74048,-88.02517,Entire home/apt,525,1,112,2023-11-18,1.18,12,215,11,
10851898,Place to stay in Placencia · ★4.55 · 2 beds · 1 bath,56207939,Janice,Stann Creek,Stann Creek Mainland,16.51457,-88.36439,Entire home/apt,212,3,93,2023-12-15,0.98,3,274,8,
10857678,Farm stay in Middlesex · 1 bedroom · 5 beds · 0 shared baths,52665457,Vanessa,Stann Creek,Stann Creek Mainland,17.03307,-88.51947,Private room,121,2,1,2020-03-05,0.02,9,228,0,
