id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
28447748,Rental unit in Ixelles · ★4.50 · 1 bedroom · 1 bed · 1 bath,36528474,Isabelle & Virgil,,Ixelles,50.83274,4.37175,Entire home/apt,150,3,6,2018-10-30,0.09,1,79,0,
28461237,Rental unit in Ixelles · 1 bedroom · 2 beds · 1 bath,70737306,Perez,,Ixelles,50.81633872643255,4.388409132596143,Entire home/apt,85,2,0,,,1,341,0,
28485878,Rental unit in Schaerbeek · ★4.92 · 1 bedroom · 1 bed · 1 bath,36679684,Thomas,,Schaerbeek,50.85715,4.38206,Entire home/apt,74,2,193,2023-12-16,3.05,1,0,46,
28518946,Condo in Saint-Gilles · ★4.84 · 1 bedroom · 1 bed · 1 shared bath,6540102,Liam,,Saint-Gilles,50.82782,4.35085,Private room,57,2,139,2023-11-15,2.20,3,30,23,
28532591,Rental unit in Bruxelles · ★4.56 · 3 bedrooms · 3 beds · 1.5 baths,143720143,Arthur,,Bruxelles,50.81748,4.37182,Entire home/apt,,2,36,2023-11-17,0.56,1,0,2,
28552902,Rental unit in Schaerbeek · ★4.98 · 1 bedroom · 1 bed · 1 bath,144404601,Frank,,Schaerbeek,50.86729,4.37245,Entire home/apt,85,28,48,2023-11-30,0.76,2,21,2,
28597688,Rental unit in Auderghem · ★4.84 · 1 bedroom · 1 bed · 1 bath,215825524,Candice,,Auderghem,50.81451,4.4296,Entire home/apt,,4,56,2023-11-08,1.19,1,0,20,
28602629,Condo in Brussel · ★4.48 · 2 bedrooms · 5 beds · 1 bath,215868065,Serife,,Bruxelles,50.89528,4.35937,Entire home/apt,66,1,497,2023-11-26,7.79,2,34,73,
28631240,Rental unit in Forest · ★4.95 · Studio · 2 beds · 1 bath,11421346,Yvette,,Forest,50.81501,4.34441,Entire home/apt,65,3,228,2023-12-15,3.64,2,249,44,
28642862,Rental unit in Ukkel · ★4.79 · 2 bedrooms · 2 beds · 1 bath,151507847,Amandine,,Uccle,50.7934,4.33442,Entire home/apt,150,2,14,2022-12-29,0.23,3,360,1,
28655779,Rental unit in Elsene · ★4.95 · 1 bedroom · 2 beds · 1 shared bath,157057351,Marie,,Ixelles,50.81636,4.38662,Private room,,3,43,2022-08-08,0.72,1,0,0,
