id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
918064535846585664,Rental unit in Riga · ★5.0 · 2 bedrooms · 1 bed · 1 bath,198196742,Anna,,Maskavas forÅ¡tate,56.93895784041981,24.137393221564302,Entire home/apt,54,1,3,2023-08-21,0.54,2,363,3,
918530517708212359,Rental unit in Riga · ★5.0 · 1 bedroom · 2 beds · 1 bath,104671562,Stephanie,,Centrs,56.9644183301936,24.12353649470707,Entire home/apt,37,2,13,2023-10-14,2.15,2,209,13,
918597102994841759,Rental unit in Riga · ★5.0 · 4 bedrooms · 6 beds · 2 baths,111133658,Ieva,,VecpilsÄta,56.949458721448714,24.110058659138502,Entire home/apt,201,2,15,2023-12-27,2.83,7,0,15,
919288792474118916,Condo in Riga · ★5.0 · Studio · 1 bed · 1 bath,314395272,Martin,,Avoti,56.9523383,24.1302185,Entire home/apt,54,1,13,2023-12-24,2.24,70,355,13,
919313451351925466,Condo in Riga · ★5.0 · Studio · 2 beds · 1 bath,314395272,Martin,,Avoti,56.9523383,24.1302185,Entire home/apt,61,1,11,2023-12-11,1.82,70,361,11,
919503128433037130,Rental unit in Riga · 1 bedroom · 1 bed · 1 bath,3320203,Nika,,VecpilsÄta,56.94639283037296,24.10797708042602,Entire home/apt,90,7,0,,,1,222,0,
919947699217773972,Condo in Riga · ★4.50 · 1 bedroom · 2 beds · 1 bath,521530864,Velga,,MeÅ¾aparks,56.98913489177585,24.16471266866087,Entire home/apt,45,1,8,2023-11-23,1.32,1,256,8,
919969683541036124,Condo in Riga · ★4.94 · 1 bedroom · 2 beds · 1 bath,3878207,Marat,,PleskodÄle,56.933424042656426,24.043279364705086,Entire home/apt,90,3,18,2023-12-11,3.38,1,85,18,
920098537293684625,Rental unit in Riga · ★4.86 · Studio · 2 beds · 1.5 baths,521562195,Jūlija,,Maskavas forÅ¡tate,56.94142068622741,24.11474440221031,Entire home/apt,74,1,14,2023-12-22,2.31,1,177,14,
920178897261189350,Rental unit in Riga · 1 bedroom · 2 beds · 1 bath,520824672,Natalja,,Purvciems,56.95125909999999,24.1882946,Entire home/apt,60,2,2,2023-08-17,0.37,1,327,2,
920937925392391169,Rental unit in Riga · ★5.0 · 1 bedroom · 2 beds · 1 bath,483943333,Linda,,Avoti,56.95210426623013,24.12970351586912,Entire home/apt,68,2,5,2023-12-05,1.05,1,83,5,
921499085004065554,Rental unit in Riga · ★4.67 · 1 bedroom · 2 beds · 1 bath,65496042,Raimonds,,DaugavgrÄ«va,57.03843872663264,24.026491047705075,Entire home/apt,35,5,3,2023-08-20,0.56,1,89,3,
921668877186947312,Rental unit in Riga · ★5.0 · 1 bedroom · 1 bed · 1 bath,355782326,Linda,,Centrs,56.9613166,24.1072505,Entire home/apt,80,1,7,2023-10-22,1.21,1,56,7,
921729432137682102,Rental unit in Riga · 1 bedroom · 2 beds · 1 bath,1865692,Maria,,Teika,56.983975279096626,24.198331584478158,Entire home/apt,45,20,0,,,1,365,0,
922116319325831617,Rental unit in Riga · Studio · 2 beds · 0 baths,96448609,Anna,,Dzirciems,56.9576425568542,24.047918566339035,Entire home/apt,,1,0,,,1,365,0,
922187168028996350,Hostel in Riga · ★3.80 · 1 bedroom · 4 beds · 1 shared bath,460509097,Central,,Avoti,56.94924990000001,24.1290842,Shared room,18,1,5,2023-10-20,0.87,8,361,5,
922201307595962740,Hostel in Riga · ★4.67 · 1 bedroom · 4 beds · 1 bath,460509097,Central,,Avoti,56.94924990000001,24.1290842,Private room,58,1,3,2023-10-30,0.59,8,358,3,
922262981810963391,Rental unit in Riga · ★4.67 · 1 bedroom · 1 bed · 1 bath,83275598,Bearsleys,,Avoti,56.94956732856216,24.1441912714518,Entire home/apt,48,2,3,2023-09-04,0.58,16,86,3,
922279518018977461,Rental unit in Riga · ★5.0 · 1 bedroom · 1 bed · 1.5 baths,522105493,Amr,,Centrs,56.951515130065836,24.127011462426754,Entire home/apt,55,1,5,2023-11-07,0.88,1,293,5,
922438878120608132,Rental unit in Riga · 1 bedroom · 1 bed · 1 bath,186450970,Krists,,MÄ«lgrÄvis,57.018673086612665,24.134670064069784,Entire home/apt,120,5,0,,,1,270,0,
922464559272539416,Rental unit in Riga · ★4.60 · 1 bedroom · 1 bed · 1 bath,127200695,Eugene,,GrÄ«ziÅkalns,56.96709542149887,24.149546809494495,Entire home/apt,26,1,30,2023-12-10,5.20,1,258,30,
922926550953532703,Rental unit in Riga · 1 bedroom · 2 beds · 1 bath,1151222,Dace,,Äiekurkalns,56.98513657139159,24.16523201996335,Entire home/apt,96,1,1,2023-07-07,0.17,1,185,1,
923591345210880752,Rental unit in Riga · 1 bedroom · 1 bed · 1 bath,253444811,Ksenija,,Maskavas forÅ¡tate,56.946407157333276,24.138520248234272,Entire home/apt,39,1,1,2023-07-23,0.19,1,271,1,
923711881300999876,Rental unit in Riga · ★5.0 · 1 bedroom · 2 beds · 1 bath,30036013,Ilze,,GrÄ«ziÅkalns,56.96227116924313,24.15100157452312,Entire home/apt,39,2,4,2023-09-03,0.69,1,261,4,
923801442823596095,Rental unit in Riga · ★4.80 · 2 bedrooms · 2 beds · 1.5 baths,522530181,Brivibas Residence,,Teika,56.977992374219454,24.184198890565796,Entire home/apt,102,1,10,2023-10-21,1.72,2,316,10,
923899167579619228,Rental unit in Riga · 1 bedroom · 2 beds · 1.5 baths,522589102,Inese,,GrÄ«ziÅkalns,56.961503,24.1414243,Entire home/apt,70,3,0,,,1,177,0,
923966610495328640,Rental unit in Riga · ★5.0 · 1 bedroom · 1 bed · 1 bath,41180828,Elita,,Dzirciems,56.95275179999999,24.0695917,Entire home/apt,37,1,6,2023-10-12,1.02,1,267,6,
924333810229690305,Rental unit in Riga · ★4.63 · 1 bedroom · 1 bed · 1 bath,94944793,Julija,,Maskavas forÅ¡tate,56.9462104,24.1384441,Private room,28,1,32,2023-12-02,5.49,9,4,32,
924385922867214460,Rental unit in Riga · ★5.0 · 1 bedroom · 2 beds · 1 bath,501610454,Ilze & Turaids,,Centrs,56.9566,24.13222,Entire home/apt,59,1,28,2023-12-10,4.91,1,172,28,
924425631657148123,Home in Riga · ★5.0 · 3 bedrooms · 5 beds · 1 bath,150614784,Laura,,DÄrzciems,56.9482692,24.1759103,Entire home/apt,164,3,3,2023-10-05,0.59,2,344,3,
924426768033577500,Rental unit in Riga · ★4.83 · 1 bedroom · 2 beds · 1 bath,464672446,Dmitrijs,,DreiliÅi,56.95483,24.24117,Entire home/apt,54,1,12,2023-12-15,2.13,5,294,12,
924510031316721804,Rental unit in Riga · ★4.86 · 1 bedroom · 1 bed · 1 bath,516467684,Tyler,,Centrs,56.9548334,24.1202005,Entire home/apt,32,2,37,2023-12-19,6.38,9,359,37,
924568740977066771,Rental unit in Riga · ★4.96 · 3 bedrooms · 3 beds · 1 bath,337871290,Rudite,,Centrs,56.9579329,24.1168819,Entire home/apt,139,1,26,2023-12-17,4.70,1,265,26,
924611910152498217,Rental unit in Riga · ★4.55 · 1 bedroom · 1 bed · 1 bath,94944793,Julija,,Maskavas forÅ¡tate,56.94590642593095,24.139166843569,Private room,27,1,33,2023-12-11,5.59,9,6,33,
