id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
2114695,Rental unit in Xinyi District · 1 bedroom · 1 bed · 1 private bath,3097566,Great,,信義區,25.03594,121.57846,Private room,828,28,2,2014-02-17,0.02,3,365,0,
2158400,Rental unit in Da’an District · ★New · 1 bedroom · 1 bed · 1 bath,11014081,Dino,,大安區,25.02222,121.52641,Entire home/apt,2143,2,1,2023-12-24,1,1,10,1,
2183521,Rental unit in Taibei City · ★4.77 · 4 bedrooms · 7 beds · 4 baths,10900462,Sarah,,中山區,25.05619,121.54344,Entire home/apt,7841,2,235,2023-10-13,1.95,5,293,7,
2211773,Serviced apartment in 中山區 · ★4.66 · 1 bedroom · 1 bed · 1 private bath,10007698,Kiki,,中山區,25.06147,121.5326,Hotel room,2711,5,271,2023-11-30,2.25,26,47,24,
2225550,Rental unit in Taipei City · ★4.91 · 2 bedrooms · 2 beds · 1 bath,51827,Jan,,大安區,25.0306,121.53176,Entire home/apt,5820,4,99,2023-12-07,0.83,13,208,17,
2257226,Rental unit in Wanhua District · ★4.55 · 2 bedrooms · 1 bed · 3 shared baths,11528101,Meander,,萬華區,25.04328,121.50159,Shared room,350,1,132,2023-11-15,1.11,5,111,16,
2257263,Rental unit in Zhongshan District · ★4.67 · 4 bedrooms · 7 beds · 4 baths,10900462,Sarah,,中山區,25.05605,121.54333,Entire home/apt,7841,2,25,2019-07-14,0.21,5,293,0,
2257570,Rental unit in Zhongshan District · ★4.70 · 4 bedrooms · 7 beds · 4 baths,10900462,Sarah,,中山區,25.05625,121.54356,Entire home/apt,7841,2,27,2023-12-10,0.23,5,290,4,
2365294,Rental unit in Daan District · ★4.73 · 1 bedroom · 1 bed · 1 shared bath,11892349,Yayoi,,大安區,25.02408,121.52896,Private room,809,4,30,2020-01-03,0.26,1,243,0,
2429479,Home in Wenshan District · 1 bedroom · 1 bed · 1 bath,8478209,Eric,,文山區,25.00726,121.55892,Private room,11143,3,0,,,15,365,0,
2432966,Rental unit in Wanhua District · ★4.57 · 3 bedrooms · 3 beds · 2 baths,7295452,Derek,,萬華區,25.04206,121.50456,Entire home/apt,6129,2,173,2023-12-13,1.51,1,75,7,
2458318,Rental unit in Taipei City 106 · ★4.89 · 2 bedrooms · 2 beds · 1 bath,51827,Jan,,大安區,25.02988,121.53187,Entire home/apt,5563,4,103,2023-12-25,0.86,13,0,23,
2498333,Rental unit in 106台灣台北市大安區 · ★4.76 · 1 bedroom · 16 beds · 3 shared baths,3958878,Banana Co-Living,,大安區,25.03339,121.52626,Shared room,350,30,41,2017-04-25,0.35,7,365,0,
2498582,Rental unit in Daan District · ★4.62 · 1 bedroom · 2 beds · 2 shared baths,3958878,Banana Co-Living,,大安區,25.03297,121.5282,Private room,650,30,21,2016-12-30,0.18,7,313,0,
